access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 1409 viewed attendance sessions for student with id 1409,web,134920,SSK3101
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12114 viewed attendance sessions for student with id 12114,web,145120,SKR3308
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Course module viewed,The user with id '14850' viewed the 'assign' activity with course module id '67510'.,web,151419,SSK4617
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 12114 viewed attendance sessions for student with id 12114,web,145120,SSE3150
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Submission form viewed.,The user with id '14850' viewed their submission for the assignment with course module id '67510'.,web,151419,SSE3151
9/7/2020,Quiz: MIDTERM SSK5507 Sunday 14th June 2020 (start at 4pm),Quiz,Question manually graded,The user with id '1305' manually graded the question with id '15605' for the attempt with id '42053' for the quiz with course module id '67317'.,web,8427A0,SSE4306
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Attendance taken by student,Student with id 26283 took attendance with instanceid 1743,web,910820,SIM4208
9/7/2020,Assignment: Lab 5 - OpenMP,File submissions,A file has been uploaded.,The user with id '14850' has uploaded a file to the submission with id '155627' in the assignment activity with course module id '67510'.,web,151419,SSK3313
9/7/2020,Quiz: MIDTERM SSK5507 Sunday 14th June 2020 (start at 4pm),Quiz,Quiz attempt reviewed,The user with id '1305' has had their attempt with id '42053' reviewed by the user with id '2813' for the quiz with course module id '67317'.,web,8427A0,SIM3251
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Course module viewed,The user with id '14850' viewed the 'assign' activity with course module id '67510'.,web,151419,SSE3305
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Course module viewed,The user with id '14850' viewed the 'assign' activity with course module id '67510'.,web,151419,SSE4306
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 13827 viewed attendance sessions for student with id 13827,web,363820,SSK3118
9/7/2020,Assignment: Lab 5 - OpenMP,File submissions,Submission created.,The user with id '14850' created a file submission and uploaded '1' file/s in the assignment with course module id '67510'.,web,151419,SSK3313
9/7/2020,URL: JPEG : Part 2,System,Course module updated,The user with id '977' updated the 'url' activity with course module id '95308'.,web,5818A0,SSK3118
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,The status of the submission has been viewed.,The user with id '14850' has viewed the submission status page for the assignment with course module id '67510'.,web,151419,SSE4301
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Session report viewed,User with id 26283 viewed attendance sessions for student with id 26283,web,910820,SSE3305
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,A submission has been submitted.,The user with id '14850' has submitted the submission with id '155627' for the assignment with course module id '67510'.,web,151419,SKM4201
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 13827 viewed attendance sessions for student with id 13827,web,363820,SSK4407
9/7/2020,URL: JPEG : Part 2,System,Course module created,The user with id '977' created the 'url' activity with course module id '95308'.,web,5818A0,SKR4202
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Session report viewed,User with id 26283 viewed attendance sessions for student with id 26283,web,910820,SSE4306
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 13827 took attendance with instanceid 606,web,363820,SKR4202
9/7/2020,Attendance: Attendance JULY2020,Attendance,Attendance taken by student,Student with id 4398 took attendance with instanceid 4888,web,GS54031,SSK4617
9/7/2020,Assignment: Lab 5 - OpenMP,File submissions,Submission created.,The user with id '30182' created a file submission and uploaded '1' file/s in the assignment with course module id '67510'.,web,43919,SKM4310
9/7/2020,Attendance: Attendance JULY2020,Attendance,Session report viewed,User with id 4398 viewed attendance sessions for student with id 4398,web,GS54031,SSK3207
9/7/2020,Assignment: Group Assignment K3,Assignment,Course module viewed,The user with id '16364' viewed the 'assign' activity with course module id '60249'.,web,156518,SSK3003
9/7/2020,Attendance: Attendance SSK5890 - JUNE2020,Attendance,Session report viewed,User with id 4398 viewed attendance sessions for student with id 4398,web,GS54031,SSK4617
9/7/2020,Attendance: Attendance JULY2020,Attendance,Session report viewed,User with id 4398 viewed attendance sessions for student with id 4398,web,GS54031,SKR3307
9/7/2020,URL: JPEG : Part 3,System,Course module created,The user with id '977' created the 'url' activity with course module id '95309'.,web,5818A0,SSK4602
9/7/2020,Assignment: Assignment 3 - Gantt Chart,Assignment,The status of the submission has been viewed.,The user with id '4398' has viewed the submission status page for the assignment with course module id '58590'.,web,GS54031,SSE3305
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Course module viewed,The user with id '30182' viewed the 'assign' activity with course module id '67510'.,web,43919,SSE3151
9/7/2020,Assignment: Assignment 3 - Gantt Chart,Assignment,Course module viewed,The user with id '4398' viewed the 'assign' activity with course module id '58590'.,web,GS54031,SSE3151
9/7/2020,Assignment: group Project,Assignment,The status of the submission has been viewed.,The user with id '16364' has viewed the submission status page for the assignment with course module id '24152'.,web,156518,SKR3308
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Course module viewed,The user with id '30182' viewed the 'assign' activity with course module id '67510'.,web,43919,SKM4212
9/7/2020,Assignment: group Project,Assignment,Course module viewed,The user with id '16364' viewed the 'assign' activity with course module id '24152'.,web,156518,SSK4508
9/7/2020,URL: JPEG : Part 1,System,Course module updated,The user with id '977' updated the 'url' activity with course module id '95307'.,web,5818A0,SKR3305
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Submission form viewed.,The user with id '30182' viewed their submission for the assignment with course module id '67510'.,web,43919,SIM4207
9/7/2020,Assignment: Group Assignment K3,Assignment,The status of the submission has been viewed.,The user with id '16364' has viewed the submission status page for the assignment with course module id '60249'.,web,156518,SSK4602
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,A submission has been submitted.,The user with id '30182' has submitted the submission with id '155232' for the assignment with course module id '67510'.,web,43919,SSE4356
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,The status of the submission has been viewed.,The user with id '30182' has viewed the submission status page for the assignment with course module id '67510'.,web,43919,SIM3251
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Course module viewed,The user with id '30182' viewed the 'assign' activity with course module id '67510'.,web,43919,SIM4207
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,The status of the submission has been viewed.,The user with id '30182' has viewed the submission status page for the assignment with course module id '67510'.,web,43919,SSK3118
9/7/2020,Assignment: Lab 5 - OpenMP,Assignment,Course module viewed,The user with id '30182' viewed the 'assign' activity with course module id '67510'.,web,43919,SSE4356
9/7/2020,Assignment: Lab 5 - OpenMP,File submissions,A file has been uploaded.,The user with id '30182' has uploaded a file to the submission with id '155232' in the assignment activity with course module id '67510'.,web,43919,SKR3202
9/7/2020,File: CarryMarks 60,System,Course activity completion updated,The user with id '30182' updated the completion state for the course module with id '94380' for the user with id '30182'.,web,43919,SSK4407
9/7/2020,URL: BTC,System,Course module created,The user with id '977' created the 'url' activity with course module id '95310'.,web,5818A0,SSK4610
9/7/2020,File: CarryMarks 60,File,Course module viewed,The user with id '30182' viewed the 'resource' activity with course module id '94380'.,web,43919,SKR3504
9/7/2020,File: 01-05 NAT Configuration,File,Course module viewed,The user with id '4026' viewed the 'resource' activity with course module id '88211'.,web,179619,SKR3305
9/7/2020,Attendance: Attendance ,Attendance,Session report viewed,User with id 3877 viewed attendance sessions for student with id 3877,web,764019,SKR3504
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 13691 viewed attendance sessions for student with id 13691,web,304220,SSK3408
9/7/2020,Attendance: Lab Attendance - Week 13,Attendance,Session report viewed,User with id 14687 viewed attendance sessions for student with id 14687,web,492019,SSK3118
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 13691 took attendance with instanceid 606,web,304220,SSK3102
9/7/2020,Attendance: Lab Attendance - Week 13,Attendance,Session report viewed,User with id 14687 viewed attendance sessions for student with id 14687,web,492019,SKR4301
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 13691 viewed attendance sessions for student with id 13691,web,304220,SSK4508
9/7/2020,Attendance: Lab Attendance - Week 13,Attendance,Attendance taken by student,Student with id 14687 took attendance with instanceid 5666,web,492019,SSK3313
9/7/2020,Attendance: Attendance ,Attendance,Attendance taken by student,Student with id 3877 took attendance with instanceid 5720,web,764019,SSK4407
9/7/2020,Attendance: Attendance ,Attendance,Session report viewed,User with id 3877 viewed attendance sessions for student with id 3877,web,764019,SSK3118
9/7/2020,Attendance: Lab Attendance - Week 14,Attendance,Session report viewed,User with id 14687 viewed attendance sessions for student with id 14687,web,492019,SSE3151
9/7/2020,Assignment: Lab 14,Assignment,Course module viewed,The user with id '20496' viewed the 'assign' activity with course module id '93092'.,web,620820,SSE3305
9/7/2020,Assignment: Keep productive!!... Programming exercise   #MCO#Stay@Home,Assignment,Course module viewed,The user with id '2249' viewed the 'assign' activity with course module id '43939'.,web,710420,SKR3202
9/7/2020,Assignment: Lab 14,Assignment,The status of the submission has been viewed.,The user with id '20496' has viewed the submission status page for the assignment with course module id '93092'.,web,620820,SIM3251
9/7/2020,Assignment: Keep productive!!... Programming exercise   #MCO#Stay@Home,Assignment,The status of the submission has been viewed.,The user with id '2249' has viewed the submission status page for the assignment with course module id '43939'.,web,710420,SSK3408
9/7/2020,Quiz: MIDTERM SSK5507 Sunday 14th June 2020 (start at 4pm),Quiz,Quiz attempt reviewed,The user with id '1305' has had their attempt with id '42054' reviewed by the user with id '4324' for the quiz with course module id '67317'.,web,8427A0,SSE4306
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Session report viewed,User with id 2249 viewed attendance sessions for student with id 2249,web,710420,SSK3003
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Session report viewed,User with id 2249 viewed attendance sessions for student with id 2249,web,710420,SKM4201
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Attendance taken by student,Student with id 2249 took attendance with instanceid 1743,web,710420,SKR3305
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Session report viewed,User with id 2249 viewed attendance sessions for student with id 2249,web,710420,SKM4201
9/7/2020,File: Lab Exercise Document Part 1,File,Course module viewed,The user with id '30039' viewed the 'resource' activity with course module id '84521'.,web,114720,SSK3408
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Session report viewed,User with id 2249 viewed attendance sessions for student with id 2249,web,710420,SKM4212
9/7/2020,Assignment: Individual Lab 13 (NAT) Submission : Configuration Video (mp4),Assignment,The status of the submission has been viewed.,The user with id '4026' has viewed the submission status page for the assignment with course module id '78816'.,web,179619,SSK4507
9/7/2020,File: Lab Exercise Document Part 1,File,Course module viewed,The user with id '30039' viewed the 'resource' activity with course module id '84521'.,web,114720,SKR3306
9/7/2020,Attendance: Lab Attendance - Week 14,Attendance,Session report viewed,User with id 25379 viewed attendance sessions for student with id 25379,web,63919,SSK3102
