access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '29087' viewed the course with id '3115'.,web,594919,SKR3307
2020-09-07,Course: SSE3202-1: INTERAKSI MANUSIA-KOMPUTER (HUMAN-COMPUTER INTERACTION),System,Course viewed,The user with id '14167' viewed the course with id '3055'.,web,976619,SSK3101
2020-09-07,Course: SKR4404-1: PENGKOMPUTERAN AWAN  (CLOUD COMPUTING),System,Course viewed,The user with id '3134' viewed the course with id '3033'.,web,084319,SIM4208
2020-09-07,Course: SSK3101-6: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '19058' viewed the course with id '3088'.,web,712320,SKR3307
2020-09-07,Course: SSK5514-1: SISTEM PENGESANAN PENCEROBOHAN (INTRUSION DETECTION SYSTEM),System,Course viewed,The user with id '8269' viewed the course with id '3846'.,web,GS55209,SKR3306
2020-09-07,Course: SSE4300-1: PENGURUSAN PROJEK PERISIAN (SOFTWARE PROJECT MANAGEMENT),System,Course viewed,The user with id '11432' viewed the course with id '3064'.,web,ES03485,SSK3408
2020-09-07,Course: SSK3101-13: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '2953' viewed the course with id '3083'.,web,557719,SSK3101
2020-09-07,Course: SSK3101-13: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '2953' viewed the course with id '3083'.,web,557719,SSK4407
2020-09-07,Course: SSK3101-13: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '2953' viewed the course with id '3083'.,web,557719,SKR4202
2020-09-07,Course: SSK3101-13: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '2953' viewed the course with id '3083'.,web,557719,SKR3202
2020-09-07,Course: SKR3200-1: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '13697' viewed the course with id '3010'.,web,570920,SIM4207
